mysql> select * from event_records where tags='drug';
+------+--------------------------------------+-------+---------------------+------------------------------------------------------------------------------+------------------------------------------------------------------------------+----------+---------------------+------+
| id   | uuid                                 | title | timestamp           | uri                                                                          | object                                                                       | category | date_created        | tags |
+------+--------------------------------------+-------+---------------------+------------------------------------------------------------------------------+------------------------------------------------------------------------------+----------+---------------------+------+
| 2933 | e57700b7-c91c-4552-896a-dc583300f0f4 | drug  | 2023-05-23 16:02:51 | /openmrs/ws/rest/v1/reference-data/drug/d9c230a5-89d8-4e4d-b08b-2af3b1234c80 | /openmrs/ws/rest/v1/reference-data/drug/d9c230a5-89d8-4e4d-b08b-2af3b1234c80 | drug     | 2023-05-23 16:02:50 | drug |
| 4243 | 2c1a9ea8-cf5b-461c-9521-3e469ac447ad | drug  | 2024-01-23 09:18:12 | /openmrs/ws/rest/v1/reference-data/drug/f452d39e-bb3a-4c3c-ad3b-36a96bc6b6df | /openmrs/ws/rest/v1/reference-data/drug/f452d39e-bb3a-4c3c-ad3b-36a96bc6b6df | drug     | 2024-01-23 09:18:12 | drug |
| 4244 | f00d5942-8a8e-4730-85e8-f6da98934e4c | drug  | 2024-01-23 09:26:10 | /openmrs/ws/rest/v1/reference-data/drug/2b7fe3c9-67ac-485b-8d01-a5cbff5eb4de | /openmrs/ws/rest/v1/reference-data/drug/2b7fe3c9-67ac-485b-8d01-a5cbff5eb4de | drug     | 2024-01-23 09:26:10 | drug |
| 4245 | 7898177b-2901-4269-bed2-fe284a6cf874 | drug  | 2024-01-23 09:28:29 | /openmrs/ws/rest/v1/reference-data/drug/b760c205-5de9-457e-a01b-6ba75a51498a | /openmrs/ws/rest/v1/reference-data/drug/b760c205-5de9-457e-a01b-6ba75a51498a | drug     | 2024-01-23 09:28:29 | drug |
| 4246 | 24f535c1-821b-44b2-9077-91780716e15b | drug  | 2024-01-23 09:30:14 | /openmrs/ws/rest/v1/reference-data/drug/7b680c12-a972-49e6-89a0-b91b46996f28 | /openmrs/ws/rest/v1/reference-data/drug/7b680c12-a972-49e6-89a0-b91b46996f28 | drug     | 2024-01-23 09:30:14 | drug |
| 4261 | 580f5898-b5e2-44bb-8670-941f14d67688 | drug  | 2024-01-25 10:20:19 | /openmrs/ws/rest/v1/reference-data/drug/5056e02c-260f-4ac4-bf85-dc24439b2208 | /openmrs/ws/rest/v1/reference-data/drug/5056e02c-260f-4ac4-bf85-dc24439b2208 | drug     | 2024-01-25 10:20:19 | drug |
| 4262 | 641d1c92-9ff4-47de-9267-6ad0ceed41a8 | drug  | 2024-01-25 10:34:03 | /openmrs/ws/rest/v1/reference-data/drug/26c7d12c-8277-4771-8034-46466a6b3ade | /openmrs/ws/rest/v1/reference-data/drug/26c7d12c-8277-4771-8034-46466a6b3ade | drug     | 2024-01-25 10:34:03 | drug |
| 4263 | 0c95847f-0ff0-4b7f-b7d0-bde3f22e700c | drug  | 2024-01-25 10:34:06 | /openmrs/ws/rest/v1/reference-data/drug/a0db39cc-86c6-48f4-9cad-9db5a9fe8047 | /openmrs/ws/rest/v1/reference-data/drug/a0db39cc-86c6-48f4-9cad-9db5a9fe8047 | drug     | 2024-01-25 10:34:05 | drug |
| 4264 | 71d42011-0ce1-438a-9e0f-146c4aa7f759 | drug  | 2024-01-25 10:34:08 | /openmrs/ws/rest/v1/reference-data/drug/baf9328d-b36a-4b7d-a2ab-2ce40b241537 | /openmrs/ws/rest/v1/reference-data/drug/baf9328d-b36a-4b7d-a2ab-2ce40b241537 | drug     | 2024-01-25 10:34:08 | drug |
